Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship,PC1,PC2
S00001,0.5454545454545452,Male,0.79,0.21714285714285708,0.2902902902902903,0.98,Arts,0.75,0.7777777777777777,0.4,0.8888888888888888,0.7777777777777777,1.0,0.02894736842105261,0.3333333333333333,1.0,Entry,0.6666666666666665,No,0.642357585479335,0.2263060258420553
S00002,0.2727272727272727,Other,0.26,0.4442857142857142,0.1111111111111111,0.815,Law,1.0,0.7777777777777777,0.6000000000000001,0.7777777777777777,0.0,0.8,0.0,0.0,0.0,Mid,0.6666666666666665,No,-0.12040142843696879,0.8058710430046827
S00003,0.909090909090909,Female,0.71,0.41857142857142837,0.7147147147147147,0.31499999999999995,Medicine,1.0,0.8888888888888888,0.2,0.0,0.8888888888888888,0.0,0.22894736842105268,0.8888888888888888,0.5,Entry,0.6666666666666665,No,-0.21087402982526865,0.16590075970562498
S00004,0.6363636363636365,Male,0.21500000000000008,0.852857142857143,0.16916916916916916,0.405,Computer Science,0.75,1.0,0.2,1.0,0.5555555555555556,0.2,0.4263157894736842,0.6666666666666665,1.0,Mid,0.4444444444444445,No,0.277051575102175,-0.04681277124230865
S00005,0.36363636363636354,Male,0.040000000000000036,0.15999999999999992,0.5985985985985987,0.24,Engineering,1.0,0.6666666666666666,0.8,1.0,0.8888888888888888,0.8,0.2973684210526316,0.8888888888888888,1.0,Entry,0.1111111111111111,No,0.5258860888655844,0.34573138647311996
S00006,0.5454545454545452,Male,0.19999999999999996,0.9999999999999998,0.6306306306306306,0.8899999999999999,Law,0.5,0.3333333333333333,0.4,0.1111111111111111,0.1111111111111111,0.2,0.5710526315789474,0.8888888888888888,0.25,Entry,0.7777777777777777,Yes,-0.28144920009713187,-0.06856431677005936
S00007,0.8181818181818181,Male,0.17999999999999994,0.15857142857142859,0.6096096096096096,0.915,Computer Science,0.0,0.1111111111111111,0.6000000000000001,0.2222222222222222,0.2222222222222222,0.4,0.4013157894736842,0.6666666666666665,0.75,Mid,0.2222222222222222,No,0.058320534100229464,-0.6058149211146502
S00008,0.18181818181818188,Male,0.3400000000000001,0.24857142857142844,0.23923923923923923,0.41999999999999993,Computer Science,0.25,0.5555555555555556,1.0,0.4444444444444445,0.0,0.4,0.17105263157894735,0.1111111111111111,0.5,Entry,0.2222222222222222,No,-0.003901480904139137,-0.13072358408758533
S00009,0.5454545454545452,Male,0.41999999999999993,0.42999999999999994,0.33633633633633636,0.655,Business,0.5,0.3333333333333333,0.0,0.4444444444444445,0.4444444444444445,0.4,0.5776315789473685,0.1111111111111111,0.25,Entry,0.1111111111111111,No,-0.24625230397842443,0.01834018032190196
S00010,0.909090909090909,Male,0.51,0.7357142857142855,0.13713713713713713,0.16500000000000004,Computer Science,0.25,0.5555555555555556,0.6000000000000001,1.0,0.1111111111111111,0.0,0.44605263157894737,0.3333333333333333,0.25,Senior,0.1111111111111111,No,-0.4566430372255161,-0.1488469366024431
S00011,0.909090909090909,Female,0.4750000000000001,0.3142857142857143,0.5935935935935936,0.43500000000000005,Mathematics,0.5,0.7777777777777777,1.0,0.7777777777777777,0.0,1.0,0.017105263157894735,0.8888888888888888,0.0,Entry,0.1111111111111111,No,-0.28643771304293747,0.4464301877025778
S00012,0.6363636363636365,Female,0.27,0.24285714285714266,0.23523523523523523,0.6299999999999999,Law,0.5,0.2222222222222222,0.6000000000000001,0.1111111111111111,0.8888888888888888,1.0,0.1328947368421053,0.6666666666666665,0.75,Mid,0.5555555555555556,Yes,0.37993705294133046,0.014066665193807663
S00013,0.36363636363636354,Female,0.030000000000000027,0.45285714285714285,0.6476476476476477,0.385,Engineering,0.5,0.0,1.0,0.1111111111111111,0.8888888888888888,0.4,0.2315789473684211,0.8888888888888888,0.75,Senior,0.7777777777777777,No,0.18227620926486288,-0.17569637227404125
S00014,0.2727272727272727,Male,0.605,0.3028571428571427,0.7937937937937938,0.3600000000000001,Arts,0.0,0.4444444444444444,0.6000000000000001,0.7777777777777777,0.5555555555555556,0.4,0.6776315789473684,0.3333333333333333,0.5,Entry,0.2222222222222222,No,-0.1570983971176217,-0.4224130108997658
S00015,0.6363636363636365,Male,0.395,0.3599999999999999,0.002002002002002002,0.0,Business,0.25,0.2222222222222222,0.6000000000000001,0.0,0.7777777777777777,0.2,0.475,0.8888888888888888,0.5,Entry,0.5555555555555556,Yes,-0.20764035738944336,-0.33787733063978637
S00016,0.6363636363636365,Female,0.30000000000000004,0.1757142857142857,0.5705705705705706,0.8049999999999999,Computer Science,0.75,0.5555555555555556,0.4,0.8888888888888888,0.8888888888888888,0.6000000000000001,0.125,0.6666666666666665,0.75,Senior,0.2222222222222222,No,0.19396023529684953,0.12502676545619776
S00017,0.18181818181818188,Female,0.865,0.9128571428571426,0.1151151151151151,0.8899999999999999,Law,0.75,0.2222222222222222,0.6000000000000001,0.1111111111111111,0.4444444444444445,0.6000000000000001,0.9539473684210527,0.7777777777777777,1.0,Mid,0.8888888888888888,No,0.6483394865116933,0.07195646885893585
S00018,0.45454545454545436,Male,0.7450000000000001,0.3028571428571427,0.4714714714714715,0.97,Mathematics,1.0,0.0,1.0,0.4444444444444445,0.1111111111111111,1.0,0.48421052631578954,0.0,1.0,Senior,0.0,No,0.8971481531239921,0.49027298798551006
S00019,0.36363636363636354,Female,0.8600000000000001,0.8899999999999999,0.1301301301301301,0.72,Mathematics,0.0,0.8888888888888888,1.0,0.2222222222222222,0.3333333333333333,1.0,0.09473684210526317,0.8888888888888888,0.25,Entry,0.6666666666666665,No,-0.08522305614727763,-0.050266847430747906
S00020,0.09090909090909083,Female,0.4950000000000001,0.11999999999999988,0.933933933933934,0.55,Mathematics,0.0,0.4444444444444444,0.2,0.4444444444444445,0.2222222222222222,0.4,0.26973684210526316,0.7777777777777777,0.75,Senior,0.7777777777777777,No,0.049025833126220573,-0.6510772837189844
S00021,0.6363636363636365,Female,0.1299999999999999,0.7357142857142855,0.8978978978978979,0.27,Medicine,0.0,0.1111111111111111,1.0,0.7777777777777777,1.0,1.0,0.22631578947368425,0.0,0.25,Entry,0.8888888888888888,No,-0.08899489684628528,-0.11783091648025536
S00022,0.9999999999999998,Male,0.6950000000000001,0.09142857142857141,0.4824824824824825,1.0,Business,0.5,0.1111111111111111,0.2,0.7777777777777777,0.6666666666666665,0.6000000000000001,0.1631578947368421,0.7777777777777777,1.0,Senior,0.4444444444444445,No,0.4001590188334901,-0.2141028825981414
S00023,0.45454545454545436,Female,0.20500000000000007,0.45285714285714285,0.4004004004004004,0.5900000000000001,Engineering,0.0,0.8888888888888888,1.0,0.5555555555555556,1.0,0.4,0.5855263157894737,0.4444444444444445,0.5,Senior,0.5555555555555556,No,-0.2163629117689215,-0.3796084643715604
S00024,0.09090909090909083,Female,0.43999999999999995,0.49285714285714266,0.20020020020020018,0.6799999999999999,Medicine,0.75,0.0,0.6000000000000001,0.8888888888888888,1.0,0.4,0.30394736842105263,0.2222222222222222,0.75,Mid,0.4444444444444445,No,0.28428664798613384,0.1326673793992055
S00025,0.9999999999999998,Female,0.06499999999999995,0.9014285714285715,0.29129129129129133,0.6799999999999999,Engineering,0.0,1.0,1.0,0.6666666666666665,1.0,0.0,0.5118421052631579,0.7777777777777777,0.0,Mid,1.0,No,-0.8406642156120756,-0.3071650509927543
S00026,0.36363636363636354,Female,0.825,0.34571428571428564,0.34134134134134136,0.845,Medicine,0.5,0.2222222222222222,0.2,0.1111111111111111,0.7777777777777777,0.8,0.30394736842105263,0.2222222222222222,0.25,Entry,0.4444444444444445,No,-0.0564920049202445,0.14522453181095565
